epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3432,1.17974,3.04152,1.07014,0.00778,0.99515,0.76259,0.48514,1.07274,3.11441,0.95217,0.00032,0.00032,0.00032
2,217.26,1.11856,1.72328,1.03919,0.98965,0.30903,0.52974,0.32166,1.07524,2.97812,0.97897,0.00059466,0.00059466,0.00059466
3,342.224,1.10653,1.47528,1.03558,0.89539,0.29039,0.4306,0.2799,1.05201,3.02341,0.97319,0.000802,0.000802,0.000802
4,467.3,1.03907,1.28781,1.00239,0.98976,0.31229,0.78011,0.5547,1.01037,2.6205,0.95187,0.00094202,0.00094202,0.00094202
5,591.957,1.014,1.22148,0.98832,0.97547,0.35057,0.90566,0.59518,1.05542,2.43955,0.9984,0.00101472,0.00101472,0.00101472
6,715.682,1.00083,1.14867,1.01914,0.97548,0.96401,0.99181,0.69664,1.00249,1.80678,0.97249,0.00101,0.00101,0.00101
7,838.783,0.97996,1.09806,0.9993,0.93218,0.937,0.97006,0.7205,0.96523,1.41165,0.99897,0.000812,0.000812,0.000812
8,961.385,0.94476,1.00381,0.98723,0.96198,0.98092,0.99015,0.75863,0.91159,1.15304,0.95604,0.000614,0.000614,0.000614
9,1085.35,0.91007,0.94625,0.98169,0.99192,0.99135,0.99492,0.78859,0.83642,1.00705,0.93236,0.000416,0.000416,0.000416
10,1205.82,0.86302,0.91002,0.94751,0.99464,0.99838,0.99497,0.79502,0.80065,0.89168,0.93596,0.000218,0.000218,0.000218
